COMID,Flow_cfs,StreamOrder,SizeClass,slope,GradientClass
249066,0.162,1,HW,0.00489477,Low
249068,0.307,1,HW,0.00456561,Low
249070,10.219,3,LC,0.00159568,Low
249072,0.383,1,HW,0.00338114,Low
249074,11.033,3,LC,0.00015028,Very low
249076,0.594,1,HW,0.00333832,Low
249078,1.27,2,HW,0.00253249,Low
249080,0.913,2,HW,0.00330106,Low
249082,0.457,2,HW,0.00431,Low
249084,0.3,1,HW,0.00645285,Moderate
249086,11.514,3,LC,0.00100965,Low
249088,0.475,1,HW,0.00423364,Low
249090,0.076,1,HW,0.00427083,Low
249092,0.816,2,HW,0.00543276,Moderate
249094,3.506,3,SC,0.0001476,Very low
249096,0.748,1,HW,0.00489378,Low
249098,12.974,3,LC,0.0005279,Very low
249100,2.055,2,SC,0.00152024,Low
249104,0.968,1,HW,0.00303066,Low
249106,0.161,1,HW,0.00456748,Low
249108,0.828,1,HW,0.00619854,Moderate
249110,0.172,1,HW,0.00532795,Moderate
249112,0.216,1,HW,0.00293021,Low
249114,0.828,1,HW,0.00321364,Low
249116,1.808,2,HW,0.00251151,Low
249118,22.083,3,LC,0.0003042,Very low
249120,1.21,2,HW,0.00477011,Low
249122,23.935,3,LC,0.00087579,Very low
249124,21.884,3,LC,0.00094067,Very low
249126,0.326,1,HW,0.00383941,Low
249128,0.206,1,HW,0.0070427,Moderate
249130,852.809,6,MS,0.00118201,Low
249132,0.534,1,HW,0.00346257,Low
249134,0.419,1,HW,0.00822222,Moderate
249136,2.471,2,SC,0.00304402,Low
249138,0.402,1,HW,0.00204545,Low
249140,854.333,6,MS,0.00081159,Very low
249142,2.49,2,SC,0.00258358,Low
249144,25.226,3,LC,0.00032962,Very low
249146,27.812,3,LC,1.00E-05,Very low
249148,27.898,3,LC,0.00183261,Low
249150,854.542,6,MS,0.00092748,Very low
249152,15.454,3,LC,0.00082789,Very low
249154,21.512,3,LC,0.00028205,Very low
249156,2.034,2,SC,0.00193623,Low
249158,17.499,3,LC,0.0006678,Very low
249160,854.758,6,MS,1.00E-05,Very low
249162,6.006,3,SC,1.00E-05,Very low
249164,30.004,4,LC,6.66E-05,Very low
249166,860.822,6,MS,0.00045524,Very low
249168,4.441,2,SC,0.00200611,Low
249170,1.564,2,HW,0.00208276,Low
249172,1.127,1,HW,0.0022445,Low
249174,865.518,6,MS,0.0002591,Very low
249178,866.544,6,MS,0.00096963,Very low
249180,868.007,6,MS,5.02E-05,Very low
249182,868.9,6,MS,0.00065152,Very low
249184,10.521,3,LC,0.00172222,Low
249188,3.268,2,SC,0.00219451,Low
249190,0.584,1,HW,0.00063555,Very low
249192,0.171,1,HW,0.00365548,Low
249194,0.784,1,HW,0.00405102,Low
249196,0.527,1,HW,0.0026914,Low
249198,3.651,1,SC,0.00129092,Low
249202,0.459,1,HW,0.00323883,Low
249204,0.102,1,HW,0.0115277,Moderate
249210,0.932,1,HW,0.00208784,Low
249212,0.858,1,HW,0.00381173,Low
249214,0.285,1,HW,0.00538812,Moderate
249216,0.281,1,HW,0.00487155,Low
249218,1.214,2,HW,0.00229684,Low
249220,11.853,4,LC,0.00129572,Low
249222,0.744,1,HW,0.00619147,Moderate
249224,0.245,1,HW,0.01137286,Moderate
249226,1.174,2,HW,0.00692389,Moderate
249228,0.887,1,HW,0.0083947,Moderate
249230,0.539,1,HW,0.00545298,Moderate
249232,10.886,4,LC,0.00130984,Low
249234,1.982,2,HW,0.00075236,Very low
249238,3.426,3,SC,0.00180321,Low
249240,7.097,2,SC,0.00069411,Very low
249242,2.681,3,SC,0.00280528,Low
249244,0.118,1,HW,0.00979,Moderate
249246,6.827,4,SC,0.00155598,Low
249248,9.927,4,SC,0.00117773,Low
249250,895.431,6,MS,0.00101345,Low
249252,0.193,1,HW,0.01339511,Moderate
249254,896.058,6,MS,0.00093894,Very low
249256,0.874,1,HW,0.00131075,Low
249258,2.816,3,SC,0.00139603,Low
249262,1.676,2,HW,0.00147058,Low
249264,7.373,2,SC,0.00121118,Low
249266,897.02,6,MS,0.00088785,Very low
249268,0.795,2,HW,0.00150684,Low
249272,0.293,1,HW,0.01276983,Moderate
249276,0.789,2,HW,0.0020032,Low
249278,0.412,1,HW,0.01445846,Moderate
249280,0.682,1,HW,0.00337615,Low
249282,1.006,1,HW,0.00284149,Low
249284,0.201,1,HW,0.00224862,Low
249286,4.338,2,SC,0.0018271,Low
249288,0.493,1,HW,0.00372263,Low
249290,0.579,1,HW,0.00310255,Low
249294,908.846,6,MS,0.00067293,Very low
249296,21.312,3,LC,0.00104853,Low
249298,930.162,6,MS,0.00265517,Low
249300,0.6,1,HW,0.00650998,Moderate
249302,2.547,2,SC,0.00272551,Low
249304,0.042,6,HW,1.00E-05,Very low
249306,930.474,6,MS,1.00E-05,Very low
249308,1.52,2,HW,0.00204094,Low
249310,13.507,3,LC,0.00030895,Very low
249312,0.448,1,HW,0.01061922,Moderate
249314,930.529,6,MS,0.00102941,Low
249316,1.305,2,HW,0.00094449,Very low
249318,1.04,2,HW,0.00364086,Low
249320,13.038,3,LC,0.00175485,Low
249322,1.12,2,HW,0.00227151,Low
249324,0.745,1,HW,0.00357515,Low
249326,0.448,1,HW,0.00396287,Low
249328,11.899,3,LC,0.00021377,Very low
249330,2.155,2,SC,0.00163611,Low
249332,10.49,3,LC,0.00061442,Very low
249334,0.959,1,HW,0.00300569,Low
249336,0.835,1,HW,0.00946743,Moderate
249340,1.388,2,HW,0.00152317,Low
249342,0.115,1,HW,0.01248257,Moderate
249344,0.894,1,HW,0.00462323,Low
249346,0.263,1,HW,0.00563468,Moderate
249350,8.288,3,SC,0.0007549,Very low
249352,0.236,1,HW,0.00428513,Low
249354,938.455,6,MS,0.00051559,Very low
249356,0.225,1,HW,0.00537946,Moderate
249358,0.188,1,HW,0.00778681,Moderate
249360,0.165,1,HW,0.00717521,Moderate
249362,0.071,1,HW,0.00529914,Moderate
249366,0.059,1,HW,0.00548174,Moderate
249368,0.229,1,HW,0.00917563,Moderate
249370,0.175,1,HW,0.00525048,Moderate
249372,2.15,2,SC,1.00E-05,Very low
249374,0.437,1,HW,0.01712052,Moderate
249376,1.685,2,HW,0.00145627,Low
249378,0.312,1,HW,0.00385436,Low
249380,5.474,3,SC,0.00122077,Low
249382,7.846,3,SC,0.00072086,Very low
249384,7.131,3,SC,0.00101172,Low
249386,5.003,3,SC,0.0035192,Low
249388,0.495,2,HW,0.00467032,Low
249390,4.508,3,SC,0.00158613,Low
249392,942.412,6,MS,0.00087475,Very low
249394,0.207,1,HW,0.00222707,Low
249396,0.078,1,HW,0.00429732,Low
249398,0.032,1,HW,0.0080024,Moderate
249400,0.088,1,HW,0.00600533,Moderate
249402,0.044,1,HW,0.00593333,Moderate
249404,0.035,1,HW,0.00734816,Moderate
249406,0.785,2,HW,0.0058821,Moderate
249408,0.845,1,HW,0.00255455,Low
249410,0.225,1,HW,0.00290502,Low
249412,0.263,1,HW,0.00331738,Low
249414,1.461,2,HW,0.00333507,Low
249416,0.477,1,HW,0.0029485,Low
249418,2.133,3,SC,1.00E-05,Very low
249420,0.205,1,HW,1.00E-05,Very low
249422,0.442,2,HW,0.00270903,Low
249424,0.207,1,HW,0.03137888,Moderate High
249612,2.677,2,SC,0.00274561,Low
249614,4.434,3,SC,0.00092631,Very low
249616,1.384,2,HW,0.00176234,Low
249618,0.375,1,HW,0.0032605,Low
249620,0.668,2,HW,0.00314688,Low
249622,0.647,1,HW,0.00341737,Low
249624,6.809,2,SC,0.00214271,Low
249626,1.281,1,HW,0.00248257,Low
249628,0.371,1,HW,0.00876032,Moderate
249630,0.256,1,HW,0.00186806,Low
249632,0.573,1,HW,0.00620664,Moderate
249634,0.396,1,HW,0.00263337,Low
249636,0.764,1,HW,0.00270482,Low
249638,2.409,2,SC,0.00309567,Low
249640,0.342,1,HW,0.00534583,Moderate
249642,883.157,6,MS,0.00088235,Very low
249644,12.032,4,LC,0.00047741,Very low
249646,0.726,1,HW,0.0039971,Low
249648,4.049,3,SC,0.00109336,Low
249650,0.538,1,HW,0.00255634,Low
249652,1.375,2,HW,0.00285098,Low
249654,0.303,1,HW,0.00879455,Moderate
249656,0.499,1,HW,0.00413874,Low
249658,0.253,1,HW,0.00909583,Moderate
249660,0.411,1,HW,0.00332531,Low
249662,2.24,3,SC,0.00307068,Low
249664,0.483,1,HW,0.0042944,Low
249666,0.861,2,HW,0.00524329,Moderate
249668,0.828,1,HW,0.00466809,Low
249670,0.294,1,HW,0.00372619,Low
249672,0.773,2,HW,0.00587489,Moderate
249674,0.208,1,HW,0.01603199,Moderate
249676,20.056,3,LC,0.00064689,Very low
249678,0.147,1,HW,0.01483292,Moderate
249680,6.015,2,SC,0.00138741,Low
249682,12.633,3,LC,0.0009378,Very low
249684,0.497,2,HW,0.00395225,Low
249688,0,1,,-9998,Very low
249690,0.127,1,HW,0.00529069,Moderate
249692,0.759,1,HW,0.00320175,Low
249694,0.142,1,HW,0.00331065,Low
249696,0.417,1,HW,0.00395881,Low
249698,0.268,1,HW,0.00453517,Low
249700,854.403,6,MS,0.00070536,Very low
249702,854.738,6,MS,0.00145612,Low
249706,0,6,,-9998,Very low
249708,867.971,6,MS,0.00089393,Very low
249710,866.546,6,MS,0.00193877,Low
249712,1.281,1,HW,1.00E-05,Very low
249714,868.951,6,MS,0.00096268,Very low
249716,880.397,6,MS,0.00076068,Very low
249718,6.819,2,SC,0.00082872,Very low
249720,0.064,1,HW,0.00251851,Low
249722,0,1,,-9998,Very low
249724,938.69,6,MS,0.00080423,Very low
249726,942.43,6,MS,0.0020886,Low
249728,0.113,1,HW,0.00484375,Low
249730,0.215,1,HW,0.00196721,Low
249732,941.561,6,MS,0.00065493,Very low
249734,0,3,,-9998,Very low
249736,0,3,,1.00E-05,Very low
249738,0.073,1,HW,1.00E-05,Very low
249740,0.078,1,HW,0.00972222,Moderate
249742,27.815,3,LC,1.00E-05,Very low
249744,0.282,1,HW,0.00859375,Moderate
250320,0.461,1,HW,0.00278694,Low
250322,0.407,1,HW,0.00328734,Low
250324,0.917,2,HW,0.00178494,Low
250326,0.196,1,HW,0.00471657,Low
250328,0.187,1,HW,0.00509677,Moderate
250330,0.188,1,HW,0.00482104,Low
250332,0.336,1,HW,0.00333067,Low
250334,0.2,1,HW,0.00353648,Low
250336,0.3,1,HW,0.00407066,Low
250338,0.144,1,HW,0.00556493,Moderate
250340,0.53,2,HW,0.003719,Low
250342,1.368,2,HW,0.00283799,Low
250344,0.059,1,HW,0.01185673,Moderate
250348,0.678,2,HW,0.00331341,Low
250350,1.083,2,HW,0.00277357,Low
250352,0.408,1,HW,0.00346947,Low
250354,1.833,3,HW,0.00290441,Low
250356,0.105,1,HW,0.00836486,Moderate
250358,1.488,2,HW,0.0027964,Low
250360,0.339,1,HW,0.00351543,Low
250362,0.515,1,HW,0.00344984,Low
250364,2.586,3,SC,0.00246113,Low
250368,0.278,1,HW,0.00476529,Low
250370,0.531,1,HW,0.00275583,Low
250372,1.078,2,HW,0.00287435,Low
250374,0.536,1,HW,0.00277884,Low
250378,0.118,1,HW,1.00E-05,Very low
250380,0.986,2,HW,0.00209206,Low
250382,1.532,2,HW,0.00309377,Low
250384,2.92,3,SC,0.00393565,Low
250386,5.465,3,SC,0.00210707,Low
250388,0.14,1,HW,0.00697351,Moderate
250390,2.057,2,SC,0.0025468,Low
250392,4.469,3,SC,0.00314888,Low
250394,5.508,3,SC,0.00185205,Low
250396,0.571,1,HW,0.00177002,Low
250398,4.675,3,SC,0.002718,Low
250400,2.92,3,SC,1.00E-05,Very low
250402,1.74,2,HW,0.001795,Low
250404,0.673,2,HW,0.00112391,Low
250406,0.058,1,HW,0.00972077,Moderate
250408,0.09,1,HW,0.00526141,Moderate
250410,0.153,1,HW,0.00652059,Moderate
250412,0.382,1,HW,0.00316992,Low
250414,0.084,1,HW,0.00565309,Moderate
250416,0.326,1,HW,0.00304075,Low
250418,0.079,1,HW,0.0057794,Moderate
250420,0.139,1,HW,0.00382465,Low
250422,0.117,1,HW,0.00646061,Moderate
250424,0.082,1,HW,0.00663384,Moderate
250426,2.343,2,SC,0.00249754,Low
250428,0.086,1,HW,0.00497598,Low
250430,0.229,2,HW,0.00221674,Low
250432,0.232,1,HW,0.00490232,Low
250434,0.363,2,HW,0.00246622,Low
250436,0.288,2,HW,0.00426917,Low
250438,0.054,1,HW,0.00915484,Moderate
250440,0.198,1,HW,0.00616264,Moderate
250442,0.34,1,HW,0.00249185,Low
250444,0.193,1,HW,0.00336469,Low
250446,0.278,1,HW,0.00486523,Low
250448,0.111,1,HW,0.00240651,Low
250450,0.591,2,HW,0.00124314,Low
250452,0.232,2,HW,0.00262676,Low
250454,0.077,1,HW,0.00435426,Low
250456,10.324,4,LC,0.00170787,Low
250458,0.684,2,HW,0.0026308,Low
250460,0.419,2,HW,0.00284005,Low
250462,0.453,1,HW,0.00403621,Low
250464,0.079,1,HW,0.00532987,Moderate
250466,0.847,2,HW,0.00255407,Low
250468,0.544,2,HW,0.00490806,Low
250470,0.961,2,HW,0.0019732,Low
250472,0.093,1,HW,0.01122582,Moderate
250474,0.549,2,HW,0.00270731,Low
250476,0.846,2,HW,0.00209737,Low
250478,0.179,1,HW,0.00509575,Moderate
250480,0.095,1,HW,0.00498226,Low
250482,1.069,2,HW,0.00325268,Low
250484,1.63,3,HW,0.00322496,Low
250486,27.905,3,LC,2.05E-05,Very low
250488,0.079,1,HW,0.00768676,Moderate
250490,0.143,1,HW,0.0103737,Moderate
250492,0.097,1,HW,0.00865384,Moderate
250494,0.242,1,HW,0.00810303,Moderate
250496,0.397,2,HW,0.00341797,Low
250498,0.345,1,HW,0.0054578,Moderate
250500,0.216,1,HW,0.0041112,Low
250502,0.423,1,HW,0.0033281,Low
250504,29.547,4,LC,0.00101333,Low
250506,0.113,1,HW,0.00564862,Moderate
250508,0.092,1,HW,0.00737747,Moderate
250510,0.749,2,HW,0.002214,Low
250512,29.699,4,LC,0.00079954,Very low
250514,0.762,2,HW,0.00278341,Low
250516,0.337,2,HW,0.00245614,Low
250518,0.192,1,HW,0.00389528,Low
250520,0.053,1,HW,0.0069896,Moderate
250522,0.304,2,HW,0.00340168,Low
250524,11.179,4,LC,0.00092498,Very low
250526,0.094,1,HW,0.00540011,Moderate
250528,0.541,1,HW,0.0040335,Low
250530,0.074,1,HW,0.00661858,Moderate
250532,1.574,3,HW,0.00148041,Low
250534,0.104,1,HW,0.00649898,Moderate
250536,0.231,1,HW,0.0058156,Moderate
250538,0.666,2,HW,0.00284591,Low
250540,0.145,1,HW,0.00619992,Moderate
250542,0.392,2,HW,0.00357421,Low
250544,0.174,1,HW,0.00678313,Moderate
250546,0.144,1,HW,0.00485034,Low
250548,12.813,4,LC,1.00E-05,Very low
250550,0.633,2,HW,0.0026692,Low
250552,1.162,3,HW,0.00132101,Low
250554,0.091,1,HW,0.00483004,Low
250556,0.161,2,HW,0.00246575,Low
250558,0.097,1,HW,0.00746468,Moderate
250560,14.005,4,LC,1.00E-05,Very low
250562,0.267,2,HW,0.00626248,Moderate
250564,0.655,2,HW,0.00295183,Low
250566,0.332,1,HW,0.00392133,Low
250568,0.39,2,HW,0.00549789,Moderate
250570,0.486,2,HW,0.00021523,Very low
250572,0.89,2,HW,0.00422403,Low
250574,0.28,1,HW,0.0043326,Low
250576,0.874,2,HW,0.00218873,Low
250578,0.623,1,HW,0.00301387,Low
250580,0.592,1,HW,0.00375843,Low
250582,30.059,4,LC,1.00E-05,Very low
250584,0.068,1,HW,0.00586242,Moderate
250586,0.04,1,HW,0.0050304,Moderate
250588,1.219,2,HW,0.00068807,Very low
250590,0.076,1,HW,0.00632599,Moderate
250592,0.149,1,HW,0.00512393,Moderate
250594,0.133,1,HW,0.00593685,Moderate
250596,0.133,1,HW,0.00549624,Moderate
250598,14.337,4,LC,1.00E-05,Very low
250600,0.07,1,HW,0.00637465,Moderate
250602,0.193,1,HW,0.00481327,Low
250604,0.26,1,HW,0.00345273,Low
250606,1.336,2,HW,0.00185424,Low
250608,0.237,1,HW,0.00501098,Moderate
250610,0.197,1,HW,0.00387933,Low
250612,0.072,1,HW,0.00387376,Low
250614,0.148,1,HW,0.00529579,Moderate
250616,0.117,1,HW,0.00570032,Moderate
250618,1.744,3,HW,0.00157868,Low
250620,0.455,1,HW,0.00380545,Low
250622,14.535,4,LC,0.00279375,Low
250624,0.11,1,HW,0.0072807,Moderate
250626,0.088,1,HW,0.00748291,Moderate
250628,1.877,3,HW,0.0008309,Very low
250630,0.246,1,HW,0.0036443,Low
250632,0.285,2,HW,0.00241216,Low
250634,0.133,1,HW,0.00259451,Low
250636,15.005,4,LC,1.00E-05,Very low
250638,1.858,3,HW,0.002065,Low
250640,15.143,4,LC,0.00530612,Moderate
250642,0.183,1,HW,0.00563494,Moderate
250644,17.002,4,LC,0.00848837,Moderate
250646,0.304,1,HW,0.00485993,Low
250648,0.463,2,HW,0.00234185,Low
250650,0.173,1,HW,0.00577759,Moderate
250652,0.262,2,HW,0.00280605,Low
250654,1.655,2,HW,0.00151499,Low
250656,0.441,2,HW,0.00651595,Moderate
250658,0.394,2,HW,0.00457328,Low
250660,1.401,3,HW,0.00195768,Low
250662,0.136,1,HW,0.00548328,Moderate
250664,0.079,1,HW,0.00448913,Low
250666,0.352,2,HW,0.00409961,Low
250668,0.23,1,HW,0.00405109,Low
250670,0.37,1,HW,0.00471781,Low
250672,17.192,4,LC,1.00E-05,Very low
250674,2.168,3,SC,0.00245971,Low
250676,0.196,1,HW,0.00500233,Moderate
250678,0.082,1,HW,0.00492268,Low
250680,0.076,1,HW,0.00414436,Low
250682,0.127,1,HW,0.00407422,Low
250684,0.28,2,HW,0.00662162,Moderate
250686,0.547,2,HW,0.00452549,Low
250688,2.232,3,SC,0.00088028,Very low
250690,0.361,1,HW,0.0033969,Low
250692,0.974,2,HW,0.00188614,Low
250694,2.755,3,SC,0.00095238,Very low
250696,0.217,2,HW,0.00321016,Low
250698,0.212,1,HW,0.00244409,Low
250700,0.042,1,HW,0.0071365,Moderate
250702,0.303,1,HW,0.00519047,Moderate
250704,0.373,1,HW,0.00351157,Low
250706,0.45,2,HW,0.00244109,Low
250708,0.115,1,HW,0.00572432,Moderate
250710,17.356,4,LC,0.00093034,Very low
250712,0.667,1,HW,0.00383137,Low
250714,0.249,1,HW,0.00512241,Moderate
250716,0.08,1,HW,0.00686495,Moderate
250718,2.88,3,SC,0.00266878,Low
250720,0.079,1,HW,0.0076124,Moderate
250722,17.48,4,LC,4.02E-05,Very low
250724,0.084,1,HW,0.00370336,Low
250726,0.053,1,HW,0.00522368,Moderate
250728,0.106,1,HW,0.00566883,Moderate
250730,0.521,2,HW,0.0030583,Low
250732,0.387,1,HW,0.00537015,Moderate
250734,0.951,2,HW,0.00192072,Low
250736,0.242,1,HW,0.00477144,Low
250738,0.617,2,HW,0.00307426,Low
250740,17.569,4,LC,1.00E-05,Very low
250742,0.21,2,HW,0.00341151,Low
250744,3.164,3,SC,0.00156225,Low
250746,17.792,4,LC,0.00351851,Low
250748,0.195,1,HW,0.0066594,Moderate
250750,3.149,3,SC,1.00E-05,Very low
250752,4.231,3,SC,0.00026666,Very low
250754,0.312,2,HW,0.00466545,Low
250756,31.973,4,LC,0.00118686,Low
250758,0.099,1,HW,0.00778517,Moderate
250760,0.331,2,HW,0.00338753,Low
250762,0.16,1,HW,0.00530244,Moderate
250764,0.1,1,HW,0.00670173,Moderate
250766,4.593,3,SC,0.00193136,Low
250768,3.034,3,SC,0.00112849,Low
250770,0.098,1,HW,0.00729871,Moderate
250772,0.098,1,HW,0.00705079,Moderate
250774,0.171,1,HW,0.00803278,Moderate
250776,4.962,3,SC,1.00E-05,Very low
250778,4.7,3,SC,0.0002122,Very low
250780,0.076,1,HW,0.00794218,Moderate
250782,0.153,1,HW,0.01199279,Moderate
250784,0.699,2,HW,0.00389295,Low
250786,0.121,1,HW,0.00839352,Moderate
250788,0.651,2,HW,0.00236676,Low
250790,0.138,1,HW,0.00452125,Low
250792,0.023,1,HW,0.0116,Moderate
250794,2.092,3,SC,0.00207829,Low
250796,0.814,2,HW,0.00425242,Low
250798,0.104,1,HW,0.00513612,Moderate
250800,0.155,2,HW,0.00566388,Moderate
250802,0.087,1,HW,0.00915032,Moderate
250804,5.249,3,SC,0.00061636,Very low
250806,0.057,1,HW,0.00948071,Moderate
250808,0.261,1,HW,0.00624921,Moderate
250810,0.525,2,HW,0.00256838,Low
250812,0.648,2,HW,0.00372376,Low
250814,0.063,1,HW,0.00395121,Low
250816,0.057,1,HW,0.0068617,Moderate
250818,0.151,1,HW,0.0049984,Low
250820,0.04,1,HW,0.01152601,Moderate
250822,33.655,4,LC,0.00058006,Very low
250824,0.935,1,HW,0.00165991,Low
250826,0.286,1,HW,0.00373983,Low
250828,0.27,1,HW,0.01024451,Moderate
250830,1.266,2,HW,0.00295169,Low
250832,0.044,1,HW,0.00547095,Moderate
250834,0.155,1,HW,0.00288872,Low
250836,0.73,2,HW,0.00203896,Low
250838,0.135,1,HW,0.00815637,Moderate
250840,5.397,3,SC,0.00119047,Low
250842,0.729,2,HW,0.00268115,Low
250844,3.373,3,SC,0.00213114,Low
250846,0.1,1,HW,0.00581637,Moderate
250848,0.588,1,HW,0.00274674,Low
250850,0.981,2,HW,0.00126237,Low
250852,0.242,1,HW,0.00944386,Moderate
250854,0.097,1,HW,0.00424038,Low
250856,0.068,1,HW,0.01924142,Moderate
250858,0.062,1,HW,0.00642553,Moderate
250860,0.457,2,HW,0.00575865,Moderate
250862,0.201,1,HW,0.00556257,Moderate
250864,0.236,2,HW,0.00786666,Moderate
250866,0.115,1,HW,0.00111908,Low
250868,0.293,2,HW,0.00446864,Low
250870,3.042,3,SC,0.00377923,Low
250872,0.087,1,HW,0.00986172,Moderate
250874,1.596,2,HW,0.00106837,Low
250876,0.739,3,HW,0.00211359,Low
250878,0.813,2,HW,0.00034653,Very low
250880,0.173,1,HW,0.00572992,Moderate
250882,0.045,1,HW,0.00943811,Moderate
250884,23.11,4,LC,1.00E-05,Very low
250886,0.286,1,HW,0.00414132,Low
250888,0.063,1,HW,0.0092882,Moderate
250890,3.861,3,SC,0.00152836,Low
250892,5.612,3,SC,0.0023857,Low
250894,0.104,1,HW,0.00489299,Low
250896,0.257,1,HW,0.00431851,Low
250898,0.226,1,HW,0.00722895,Moderate
250900,0.957,3,HW,0.00251961,Low
250902,0.959,2,HW,0.00155141,Low
250904,0.417,2,HW,0.00312014,Low
250906,0.252,2,HW,0.00557067,Moderate
250908,1.066,2,HW,0.00054621,Very low
250910,0.148,1,HW,0.00546183,Moderate
250912,0.038,1,HW,0.00749505,Moderate
250914,1.215,2,HW,1.00E-05,Very low
250916,3.948,3,SC,0.00087533,Very low
250918,1.219,3,HW,0.00176859,Low
250920,1.213,2,HW,0.00267514,Low
250922,1.407,2,HW,0.00273343,Low
250924,1.667,2,HW,0.00720739,Moderate
250926,1.579,2,HW,0.00742152,Moderate
250928,23.422,4,LC,0.00223712,Low
250930,0.032,1,HW,0.00782191,Moderate
250932,2.022,3,SC,0.00174097,Low
250934,0.069,1,HW,0.00787326,Moderate
250936,1.101,2,HW,0.00217337,Low
250938,35.058,4,LC,0.00117414,Low
250940,0.503,2,HW,0.00276096,Low
250942,1.263,2,HW,0.0043554,Low
250944,0.185,1,HW,0.0098119,Moderate
250946,3.321,3,SC,0.0020855,Low
250948,0.048,1,HW,0.00918461,Moderate
250950,0.122,1,HW,0.00733578,Moderate
250952,5.892,3,SC,0.00128719,Low
250954,6.033,3,SC,1.00E-05,Very low
250956,0.052,1,HW,0.00867034,Moderate
250958,0.091,1,HW,0.00762198,Moderate
250960,5.183,3,SC,1.00E-05,Very low
250962,0.12,1,HW,0.00464437,Low
250964,0.571,2,HW,0.0028326,Low
250966,0.098,1,HW,0.00689117,Moderate
250968,3.385,3,SC,0.00172046,Low
250970,0.235,1,HW,0.0085067,Moderate
250972,0.104,1,HW,0.00516522,Moderate
250974,0.059,1,HW,0.00579241,Moderate
250976,0.093,1,HW,0.00413684,Low
250980,25.572,4,LC,0.00130157,Low
250982,0.266,2,HW,0.01181818,Moderate
250984,0.343,2,HW,0.00496946,Low
250986,0.13,1,HW,0.01316218,Moderate
250988,0.088,1,HW,0.00889109,Moderate
250990,6.104,3,SC,6.05E-05,Very low
250992,0.124,1,HW,0.00578184,Moderate
250994,0.077,1,HW,0.00970636,Moderate
250996,6.237,3,SC,0.00305555,Low
250998,0.114,1,HW,0.00755652,Moderate
251000,36.712,4,LC,3.80E-05,Very low
251002,0.109,1,HW,0.00357169,Low
251004,0.408,1,HW,0.00281535,Low
251006,0.053,1,HW,0.00789758,Moderate
